R2-USB1,147.00,50.98,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,129.74,45.98,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,102.44,24.59,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,102.44,21.05,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,25.77,11.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,29.23,11.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,36.14,11.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,32.68,11.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,22.32,11.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.90,108.24,180.00,BUTTON_CUSYOMV11,MYBUTTON
R_BOOT,52.30,107.79,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.09,61.26,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.54,107.92,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.82,31.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.36,107.90,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,157.39,11.31,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,105.88,24.42,90.00,,SJ
TP1,5.14,65.09,0.00,TPTP20R,TP20R
TP10,58.42,3.77,0.00,TPTP20R,TP20R
TP11,5.19,35.53,0.00,TPTP20R,TP20R
TP12,15.55,65.09,0.00,TPTP20R,TP20R
TP13,19.02,65.09,0.00,TPTP20R,TP20R
TP14,134.27,64.64,0.00,TPTP20R,TP20R
TP15,5.19,31.34,0.00,TPTP20R,TP20R
TP16,1.67,65.09,0.00,TPTP20R,TP20R
TP17,62.42,3.77,0.00,TPTP20R,TP20R
TP2,8.61,65.09,0.00,TPTP20R,TP20R
TP3,138.11,64.62,0.00,TPTP20R,TP20R
TP4,54.42,3.77,0.00,TPTP20R,TP20R
TP5,5.19,39.72,0.00,TPTP20R,TP20R
TP6,50.41,3.77,0.00,TPTP20R,TP20R
TP7,46.41,3.77,0.00,TPTP20R,TP20R
TP8,42.41,3.77,0.00,TPTP20R,TP20R
TP9,12.08,65.09,0.00,TPTP20R,TP20R
U1,42.59,53.86,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.96,52.20,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,83.90,54.25,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,155.75,61.92,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,133.71,46.76,90.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
